Category,Country,State,Age,Gender,Before-Environment,Before-ClassworkStress,Before-HomeworkStress,Before-HomeworkHours,Now-Environment,Now-ClassworkStress,Now-HomeworkStress,Now-HomeworkHours,FamilyRelationships,FriendRelationships
SchoolCollegeTraining,US,TX,14,Male,Physical,1,3,2,Virtual,3,5,4.5,2,-1
SchoolCollegeTraining,US,MD,13,Male,Physical,5,4,2,Virtual,3,5,2.5,1,-2
Homeschool,US,TX,16,Female,Virtual,1,3,10,Virtual,3,5,15,1,-1
SchoolCollegeTraining,US,GA,17,Male,Physical,4,4,6,Physical,5,1,6,0,-2
SchoolCollegeTraining,GB,,14,Male,Physical,3,4,4,Physical,5,5,6,0,1
SchoolCollegeTraining,US,WV,17,Male,Physical,1,1,3,Virtual,5,6,14,2,-2
SchoolCollegeTraining,US,MO,18,Female,Physical,2,3,3,Virtual,3,5,6,-2,-1
SchoolCollegeTraining,US,PA,17,Male,Physical,1,3,3,Virtual,5,5,5,0,-3
Homeschool,US,IL,16,Female,Hybrid,3,3,3,Hybrid,2,4,1,-3,2
SchoolCollegeTraining,US,MN,15,Female,Physical,2,2,1,Virtual,1,2,5,1,-1
Homeschool,US,TX,18,Male,Hybrid,3,2,4,Virtual,4,3,4,0,-2
Homeschool,US,FL,15,Female,Physical,2,3,4,Virtual,4,5,8,-1,-1
Homeschool,US,FL,14,Female,Virtual,1,1,3,Virtual,5,6,5,0,2
SchoolCollegeTraining,US,FL,15,Female,Physical,2,2,4,Virtual,2,3,7,0,2
SchoolCollegeTraining,US,FL,15,Female,Physical,2,3,5,Virtual,6,6,7,-1,-1
SchoolCollegeTraining,US,CO,14,Female,Physical,5,4,9,Virtual,6,5,10,-1,-3
SchoolCollegeTraining,US,WA,15,Female,Physical,0,0,0,Virtual,3,3,6,2,0
SchoolCollegeTraining,US,UT,17,Female,Physical,3,5,3.5,Physical,3,2,1.5,0,0
SchoolCollegeTraining,US,TX,14,Male,Physical,4,4,1,Virtual,4,4,2,1,2
SchoolCollegeTraining,US,WA,14,Other,Physical,2,5,2,Virtual,4,5,4,-1,-3
SchoolCollegeTraining,US,MI,16,Female,Physical,3,5,4,Virtual,2,4,4,1,-1
SchoolCollegeTraining,GB,,20,Male,Physical,3,4,3,Virtual,3,5,5,-1,0
SchoolCollegeTraining,CA,,15,,Physical,1,1,1,Hybrid,2,5,8,0,2
SchoolCollegeTraining,GB,,17,Male,Physical,2,3,1,Hybrid,3,5,2,0,0
SchoolCollegeTraining,US,CA,17,Male,Physical,4,5,5,Virtual,1,5,2,-1,-3
SchoolCollegeTraining,US,TX,17,Other,Physical,1,3,3,Virtual,3,5,4,1,-2
SchoolCollegeTraining,US,IL,15,Male,Physical,2,3,0,Hybrid,4,3,2,-1,1
SchoolCollegeTraining,GB,,17,Female,Physical,4,4,2.5,Hybrid,6,6,5,-2,-1
SchoolCollegeTraining,RS,,17,Female,Physical,2,3,0,Virtual,1,1,2,0,0
SchoolCollegeTraining,US,GA,15,Female,Physical,2,1,0,Hybrid,5,5,3,3,-3
SchoolCollegeTraining,US,IN,16,,Physical,1,2,1,Virtual,6,6,2,1,-3
SchoolCollegeTraining,GB,,15,Male,Physical,3,4,1,Hybrid,5,5,1,-1,2
SchoolCollegeTraining,DE,,21,Male,Physical,2,5,4,Virtual,2,6,6,-1,1
SchoolCollegeTraining,US,PA,16,Male,Physical,2,2,1,Virtual,4,4,1,1,2
SchoolCollegeTraining,GB,,15,Male,Physical,3,4,2,Physical,5,4,3,1,2
SchoolCollegeTraining,US,AZ,19,Female,Hybrid,1,4,2,Virtual,2,5,5,0,0
SchoolCollegeTraining,US,NY,16,,Physical,6,4,2,Physical,6,5,1,1,-3
SchoolCollegeTraining,MY,,20,Female,Physical,2,2,3,Virtual,4,4,4,0,-1
SchoolCollegeTraining,BD,,22,Female,Virtual,2,1,1,Virtual,3,3,1,2,0
SchoolCollegeTraining,FR,,21,Female,Physical,2,3,3,Virtual,2,4,4,1,-1
